datetime,sym,price,size,side,ordertype,orderid,channelno,seqno,bizindex
2023-12-15 09:15:00.100,600373.SH,16.0800,100,-1,0,563,4,93633,105738
2023-12-15 09:15:00.300,600373.SH,14.6600,500,1,0,1458,4,93634,105739
2023-12-15 09:15:00.400,600373.SH,14.1900,200,1,0,1890,4,93635,105740
2023-12-15 09:15:00.430,600373.SH,15.5500,200,-1,0,2224,4,93636,105741
2023-12-15 09:15:00.450,600373.SH,14.3600,200,1,0,2464,4,93637,105742
2023-12-15 09:15:00.450,600373.SH,16.0700,200,-1,0,2465,4,93638,105743
2023-12-15 09:15:00.480,600373.SH,14.0100,20000,1,0,2739,4,93639,105744
2023-12-15 09:15:00.480,600373.SH,14.2400,5000,1,0,2740,4,93640,105745
2023-12-15 09:15:00.480,600373.SH,14.3100,5000,1,0,2741,4,93641,105746
2023-12-15 09:15:00.590,600373.SH,16.0000,100,-1,0,3564,4,93642,105747
2023-12-15 09:15:00.590,600373.SH,14.8500,200,-1,0,3569,4,93643,105748
2023-12-15 09:15:00.590,600373.SH,15.1500,100,-1,0,3571,4,93644,105749
2023-12-15 09:15:00.590,600373.SH,15.6800,300,-1,0,4293,4,93645,105750
2023-12-15 09:15:00.590,600373.SH,16.0800,300,-1,0,4295,4,93646,105751
2023-12-15 09:15:00.760,600373.SH,15.9900,100,-1,0,5777,4,93647,105752
2023-12-15 09:15:00.760,600373.SH,14.5300,500,1,0,5945,4,93648,105753
2023-12-15 09:15:00.760,600373.SH,14.3300,500,1,0,5950,4,93649,105754
2023-12-15 09:15:00.760,600373.SH,14.0300,500,1,0,5958,4,93650,105755
2023-12-15 09:15:00.760,600373.SH,13.8300,500,1,0,5960,4,93651,105756
2023-12-15 09:15:00.760,600373.SH,13.5300,500,1,0,5966,4,93652,105757
2023-12-15 09:15:00.760,600373.SH,13.3300,500,1,0,5974,4,93653,105758
2023-12-15 09:15:00.760,600373.SH,15.2800,500,-1,0,5979,4,93654,105759
2023-12-15 09:15:00.760,600373.SH,15.4800,500,-1,0,5985,4,93655,105760
2023-12-15 09:15:00.760,600373.SH,15.7800,500,-1,0,5995,4,93656,105761
2023-12-15 09:15:00.760,600373.SH,15.9800,500,-1,0,6000,4,93657,105762
2023-12-15 09:15:00.760,600373.SH,14.8500,300,-1,0,6699,4,93658,105763
2023-12-15 09:15:00.760,600373.SH,14.2100,3500,1,0,7164,4,93659,105764
2023-12-15 09:15:00.760,600373.SH,14.0100,6000,1,0,7178,4,93660,105765
2023-12-15 09:15:00.760,600373.SH,15.2700,500,-1,0,7179,4,93661,105766
2023-12-15 09:15:00.880,600373.SH,16.0900,400,-1,0,7631,4,93662,105767
2023-12-15 09:15:00.880,600373.SH,14.2500,300,1,0,7666,4,93663,105768
2023-12-15 09:15:00.880,600373.SH,13.8000,100,1,0,7734,4,93664,105769
2023-12-15 09:15:00.930,600373.SH,15.8800,2000,-1,0,8257,4,93665,105770
2023-12-15 09:15:00.930,600373.SH,13.8800,1000,1,0,8272,4,93666,105771
2023-12-15 09:15:00.930,600373.SH,14.0200,1600,1,0,8677,4,93667,105772
2023-12-15 09:15:00.930,600373.SH,14.9000,200,-1,0,8829,4,93668,105773
2023-12-15 09:15:00.930,600373.SH,15.1000,200,-1,0,8833,4,93669,105774
2023-12-15 09:15:00.930,600373.SH,15.3000,300,-1,0,8846,4,93670,105775
2023-12-15 09:15:00.930,600373.SH,15.5000,200,-1,0,8850,4,93671,105776
2023-12-15 09:15:00.930,600373.SH,15.1900,300,-1,0,8935,4,93672,105777
2023-12-15 09:15:00.930,600373.SH,14.9900,1000,-1,0,9130,4,93673,105778
2023-12-15 09:15:00.930,600373.SH,14.2100,2000,1,0,9135,4,93674,105779
2023-12-15 09:15:00.930,600373.SH,14.0300,2000,1,0,9144,4,93675,105780
2023-12-15 09:15:01.010,600373.SH,15.1000,200,-1,0,9634,4,93676,105781
2023-12-15 09:15:01.010,600373.SH,14.5100,500,1,0,9781,4,93677,105782
2023-12-15 09:15:01.010,600373.SH,14.4200,600,1,0,9785,4,93678,105783
2023-12-15 09:15:01.050,600373.SH,16.0900,100,-1,0,10102,4,93679,105784
2023-12-15 09:15:01.050,600373.SH,15.9800,100,-1,0,10103,4,93680,105785
2023-12-15 09:15:01.050,600373.SH,15.6000,500,-1,0,10161,4,93681,105786
2023-12-15 09:15:01.050,600373.SH,15.5000,200,-1,0,10633,4,93682,105787
2023-12-15 09:15:01.150,600373.SH,15.3000,700,-1,0,11647,4,93683,105788
2023-12-15 09:15:01.150,600373.SH,13.1700,1400,-1,0,11661,4,93684,105789
