datetime,sym,price,size,bidorderid,askorderid,tradeid,exectype,tradebsflag,channelno,bizindex
2023-12-15 09:15:07.170,600373.SH,14.59,1000.0,0,40005,93897,2,0,4,106002
2023-12-15 09:16:10.670,600373.SH,14.63,700.0,69983,0,93969,2,0,4,106074
2023-12-15 09:17:01.820,600373.SH,14.51,1000.0,83218,0,93985,2,0,4,106090
2023-12-15 09:17:28.600,600373.SH,14.69,400.0,0,41008,93992,2,0,4,106097
2023-12-15 09:17:51.200,600373.SH,13.17,1400.0,0,11661,94005,2,0,4,106110
2023-12-15 09:18:00.000,600373.SH,14.52,800.0,85199,0,94007,2,0,4,106112
2023-12-15 09:18:00.280,600373.SH,13.17,10500.0,0,14870,94008,2,0,4,106113
2023-12-15 09:18:00.350,600373.SH,13.17,4600.0,0,14834,94009,2,0,4,106114
2023-12-15 09:18:00.410,600373.SH,13.17,9700.0,0,14585,94010,2,0,4,106115
2023-12-15 09:18:27.280,600373.SH,14.64,50000.0,83905,0,94014,2,0,4,106119
2023-12-15 09:18:31.970,600373.SH,14.6,50000.0,82357,0,94018,2,0,4,106123
2023-12-15 09:19:13.830,600373.SH,14.76,500.0,0,83497,94025,2,0,4,106130
2023-12-15 09:19:24.920,600373.SH,14.85,35200.0,0,81748,94030,2,0,4,106135
2023-12-15 09:25:00.390,600373.SH,14.73,100.0,32930,77837,12106,1,N,4,106388
2023-12-15 09:25:00.390,600373.SH,14.73,200.0,118514,77837,12107,1,N,4,106389
2023-12-15 09:25:00.390,600373.SH,14.73,200.0,126900,77837,12108,1,N,4,106390
2023-12-15 09:25:00.390,600373.SH,14.73,100.0,35274,77837,12109,1,N,4,106391
2023-12-15 09:25:00.390,600373.SH,14.73,100.0,35275,77837,12110,1,N,4,106392
2023-12-15 09:25:00.390,600373.SH,14.73,100.0,126618,87426,12111,1,N,4,106393
2023-12-15 09:25:00.390,600373.SH,14.73,100.0,126618,95553,12112,1,N,4,106394
2023-12-15 09:25:00.390,600373.SH,14.73,100.0,126618,95554,12113,1,N,4,106395
2023-12-15 09:25:00.390,600373.SH,14.73,100.0,126618,95555,12114,1,N,4,106396
2023-12-15 09:25:00.390,600373.SH,14.73,200.0,126618,95557,12115,1,N,4,106397
